Geo Hierarchy - Geo;Geo Hierarchy - Country;Call Center;Case Number;Case Status;Case Created On Date;Completion Date;Agent Name;Service Account;Agreement Type;Problem Code Category;Problem Code;Resolution Code;Product Family;Model Name;Origin;First Work Order Number;Work Order Number;Work Order Address;Serial Number;# of TSC Break Fix Resolved Cases;# of Service Fix Resolved Cases
North America;Canada;Call Center : Rabat CA;CAS-4457980-C9N7B8;Resolved;08/01/2025;08/01/2025;Hicham Imam;Alberta Health Services;MPS;;;;;;HDIS;;;;;1;0
North America;Canada;Call Center : Rabat CA;CAS-4457981-K7R8H4;Resolved;08/01/2025;08/01/2025;Yassine El Khattary;Alberta Health Services;MPS;;;;;;HDIS;;;;;1;0
North America;Canada;Call Center : Rabat CA;CAS-4457990-N8T6V8;Resolved;08/01/2025;09/01/2025;Hicham Imam;Alberta Health Services;MPS;;;;;;HDIS;;;;;1;0
North America;Canada;Call Center : Rabat CA;CAS-4457996-Q1H7W1;Resolved;08/01/2025;09/01/2025;Mohammed Debich;Alberta Health Services;MPS;;;;;;HDIS;;;;;1;0
North America;Canada;Call Center : Rabat CA;CAS-4458020-K5J1X4;Resolved;08/01/2025;09/01/2025;Mohammed Debich;Alberta Health Services;MPS;;;;;;HDIS;;;;;1;0
North America;Canada;Call Center : Rabat CA;CAS-4458030-Z4G5K9;Resolved;09/01/2025;09/01/2025;Hicham Imam;Alberta Health Services;MPS;;;;;;HDIS;;;;;1;0
North America;Canada;Call Center : Rabat CA;CAS-4458033-D8Y7M6;Resolved;09/01/2025;09/01/2025;Hicham Imam;Alberta Health Services;MPS;;;;;;HDIS;;;;;1;0
North America;Canada;Call Center : Rabat CA;CAS-4458035-P8K7G7;Resolved;09/01/2025;09/01/2025;Hicham Imam;Alberta Health Services;MPS;;;;;;HDIS;;;;;1;0
North America;Canada;Call Center : Rabat CA;CAS-4458044-W4C1L1;Resolved;09/01/2025;09/01/2025;Mohammed Debich;Alberta Health Services;MPS;;;;;;HDIS;;;;;1;0
North America;Canada;Call Center : Rabat CA;CAS-4458048-L7Z0K0;Resolved;09/01/2025;09/01/2025;Mohammed Debich;Alberta Health Services;MPS;;;;;;HDIS;;;;;1;0
North America;Canada;Call Center : Rabat CA;CAS-4458052-Q4R4D4;Resolved;09/01/2025;09/01/2025;Hicham Imam;Alberta Health Services;MPS;;;;;;HDIS;;;;;1;0
North America;Canada;Call Center : Rabat CA;CAS-4458062-W5M7S5;Resolved;09/01/2025;09/01/2025;Hicham Imam;Alberta Health Services;MPS;;;;;;HDIS;;;;;1;0
North America;Canada;Call Center : Rabat CA;CAS-4466194-X4Y9H3;Resolved;10/01/2025;10/01/2025;Mohammed Debich;Alberta Health Services;MPS;;;;;;HDIS;;;;;1;0
North America;Canada;Call Center : Rabat CA;CAS-4506261-F1S7D3;Resolved;23/01/2025;30/01/2025;Amine Ennajih;Alberta Health Services;MPS;;;;;;HDIS;;;;;1;0
North America;Canada;Call Center : Rabat CA;CAS-4519872-Y8M9D5;Resolved;28/01/2025;28/01/2025;Yassine El Khattary;Alberta Health Services;MPS;;;;;;HDIS;;;;;1;0
North America;Canada;Call Center : Rabat CA;CAS-4520866-B5B3W7;Resolved;28/01/2025;28/01/2025;Yassine El Khattary;Alberta Health Services;MPS;;;;;;HDIS;;;;;1;0
North America;Canada;Call Center : Rabat CA;CAS-4604099-Y7R9T6;Resolved;21/02/2025;21/02/2025;Mohammed Debich;Alberta Health Services;MPS;;;;;;HDIS;;;;;1;0
North America;Canada;Call Center : Rabat CA;CAS-4721630-X9J1Q9;Resolved;28/03/2025;28/03/2025;Yassine El Khattary;Alberta Health Services;MPS;;;;;;HDIS;;;;;1;0
North America;Canada;Call Center : Rabat CA;CAS-4700263-Y4T1C8;Resolved;21/03/2025;21/03/2025;Mohammed El Hachimi;Alberta Health Services;MPS;;;;X86x;X864dhe4;HDIS;;;;2409444;1;0
North America;Canada;Call Center : Rabat CA;CAS-4700264-D1Y8W6;Resolved;21/03/2025;21/03/2025;Mohammed El Hachimi;Alberta Health Services;MPS;;;;X86x;X864dhe4;HDIS;;;;2409444;1;0
North America;Canada;Call Center : Rabat CA;CAS-4457914-M2P4K1;Resolved;08/01/2025;09/01/2025;Adam Es-Salmi;Alberta Health Services;MPS;;;;X86x;X864dhe4;HDIS;;;;2410778;1;0
North America;Canada;Call Center : Rabat CA;CAS-4458055-Z1J4S6;Resolved;09/01/2025;09/01/2025;Adam Es-Salmi;Alberta Health Services;MPS;;;;X86x;X864dhe4;HDIS;;;;2601191;1;0
North America;Canada;Call Center : Rabat CA;CAS-4721944-D6P5T8;Resolved;28/03/2025;28/03/2025;Mohammed El Hachimi;Alberta Health Services;MPS;;;;X86x;X864dhe4;HDIS;;;;2601327;1;0
North America;Canada;Call Center : Rabat CA;CAS-4462291-D9Y1P3;Resolved;09/01/2025;09/01/2025;Amine Ennajih;Alberta Health Services;MPS;;;;X36x;X364dn;HDIS;;;;35037FB;1;0
North America;Canada;Call Center : Rabat CA;CAS-4498520-R7S1N1;Resolved;21/01/2025;22/01/2025;Lamyae Belghali;Alberta Health Services;MPS;;;;X46x;X466dte;HDIS;;;;35P1TW0;1;0
North America;Canada;Call Center : Rabat CA;CAS-4695179-N9Q5M9;Resolved;20/03/2025;20/03/2025;Walid Talbi;Alberta Health Services;MPS;;;;MS81x;MS811dtn;HDIS;;;;406336990BH8M;1;0
North America;Canada;Call Center : Rabat CA;CAS-4613271-W5L3Y7;Resolved;25/02/2025;27/02/2025;Amine Ennajih;Alberta Health Services;MPS;;;;MS81x;MS811dtn;HDIS;;11616964;960 19 St S;406336990BHKB;1;1
North America;Canada;Call Center : Rabat CA;CAS-4501017-W5C1W7;Resolved;22/01/2025;23/01/2025;Amine Ennajih;Alberta Health Services;MPS;;;;MS81x;MS811dtn;HDIS;;;;406347990KHRL;1;0
North America;Canada;Call Center : Rabat CA;CAS-4590051-Z0J2Y2;Resolved;18/02/2025;18/02/2025;Ayman Elassal;Alberta Health Services;MPS;;;;MS81x;MS811dn;HDIS;;;;406347990KHXP;1;0
North America;Canada;Call Center : Rabat CA;CAS-4695077-T9X5N6;Resolved;20/03/2025;26/03/2025;Adil El Ghzaoui;Alberta Health Services;MPS;;;;MS81x;MS811dn;HDIS;;;;40634C6600X70;1;0
North America;Canada;Call Center : Rabat CA;CAS-4559394-P5W4D5;Resolved;09/02/2025;10/02/2025;Adil El Ghzaoui;Alberta Health Services;MPS;;;;MS81x;MS811dtn;HDIS;;;;40634C66017TF;1;0
North America;Canada;Call Center : Rabat CA;CAS-4489651-S2B8B3;Resolved;18/01/2025;18/01/2025;Hicham Imam;Alberta Health Services;MPS;;;;MS81x;MS811dtn;HDIS;;;;40635C6602FWX;1;0
North America;Canada;Call Center : Rabat CA;CAS-4453098-R5Q1T6;Resolved;07/01/2025;10/01/2025;Lamyae Belghali;Alberta Health Services;MPS;;;;MS81x;MS811dn;HDIS;;;;40635C6603XFD;1;0
North America;Canada;Call Center : Rabat CA;CAS-4457906-C4C6X5;Resolved;08/01/2025;08/01/2025;Hicham Imam;Alberta Health Services;MPS;;;;MS81x;MS811dn;HDIS;;;;40635C66076H0;1;0
North America;Canada;Call Center : Rabat CA;CAS-4470140-Y4F8K0;Resolved;13/01/2025;13/01/2025;Yassine El Khattary;Alberta Health Services;MPS;;;;MS81x;MS811dn;HDIS;;;;40635C6608GL2;1;0
North America;Canada;Call Center : Rabat CA;CAS-4457889-F4F6R7;Resolved;08/01/2025;09/01/2025;Mohammed Debich;Alberta Health Services;MPS;;;;MS81x;MS811dtn;HDIS;;;;40636C66017GB;1;0
North America;Canada;Call Center : Rabat CA;CAS-4511887-W6V5V1;Resolved;24/01/2025;24/01/2025;Mohammed Debich;Alberta Health Services;MPS;;;;MS82x;MS823dn;HDIS;;;;40643461103ZC;1;0
North America;Canada;Call Center : Rabat CA;CAS-4511888-T2C1Q5;Resolved;24/01/2025;24/01/2025;Mohammed Debich;Alberta Health Services;MPS;;;;MS82x;MS823dn;HDIS;;;;40643461103ZC;1;0
North America;Canada;Call Center : Rabat CA;CAS-4676954-K7B9S1;Resolved;14/03/2025;14/03/2025;Soufiane El hachmi;Alberta Health Services;MPS;;;;MS61x;MS610dte;HDIS;;;;451444HH1C346;1;0
North America;Canada;Call Center : Rabat CA;CAS-4457288-L8N7V6;Resolved;08/01/2025;08/01/2025;Walid Talbi;Alberta Health Services;MPS;;;;MS61x;MS610dte;HDIS;;;;451444HH1GCH8;1;0
North America;Canada;Call Center : Rabat CA;CAS-4457913-B4J9Z0;Resolved;08/01/2025;09/01/2025;Adam Es-Salmi;Alberta Health Services;MPS;;;;MS41x;MS415dn;HDIS;;;;451444LM1932L;1;0
North America;Canada;Call Center : Rabat CA;CAS-4677633-K3M4Z2;Resolved;14/03/2025;14/03/2025;Adil El Ghzaoui;Alberta Health Services;MPS;;;;MS41x;MS415dn;HDIS;;;;451444LM193PK;1;0
North America;Canada;Call Center : Rabat CA;CAS-4677615-B7F4X8;Resolved;14/03/2025;14/03/2025;Adil El Ghzaoui;Alberta Health Services;MPS;;;;MS41x;MS415dn;HDIS;;;;451444LM193Y6;1;0
North America;Canada;Call Center : Rabat CA;CAS-4677618-P5C2B5;Resolved;14/03/2025;14/03/2025;Adil El Ghzaoui;Alberta Health Services;MPS;;;;MS41x;MS415dn;HDIS;;;;451444LM193Y9;1;0
North America;Canada;Call Center : Rabat CA;CAS-4677605-Y8N4M8;Resolved;14/03/2025;15/03/2025;Adil El Ghzaoui;Alberta Health Services;MPS;;;;MS41x;MS415dn;HDIS;;;;451444LM193YG;1;0
North America;Canada;Call Center : Rabat CA;CAS-4677611-Z7V2K2;Resolved;14/03/2025;14/03/2025;Adil El Ghzaoui;Alberta Health Services;MPS;;;;MS41x;MS415dn;HDIS;;;;451444LM193YN;1;0
North America;Canada;Call Center : Rabat CA;CAS-4457972-G2V0Y1;Resolved;08/01/2025;09/01/2025;Adam Es-Salmi;Alberta Health Services;MPS;;;;MS41x;MS415dn;HDIS;;;;451444LM1FWK6;1;0
North America;Canada;Call Center : Rabat CA;CAS-4677670-R7K4D9;Resolved;14/03/2025;14/03/2025;Adil El Ghzaoui;Alberta Health Services;MPS;;;;MS41x;MS415dn;HDIS;;;;451444LM1GW25;1;0
North America;Canada;Call Center : Rabat CA;CAS-4677667-S6W6D9;Resolved;14/03/2025;14/03/2025;Adil El Ghzaoui;Alberta Health Services;MPS;;;;MS41x;MS415dn;HDIS;;;;451444LM1GW2H;1;0
North America;Canada;Call Center : Rabat CA;CAS-4677619-J7X6G6;Resolved;14/03/2025;14/03/2025;Adil El Ghzaoui;Alberta Health Services;MPS;;;;MS41x;MS415dn;HDIS;;;;451444LM1GW4K;1;0
North America;Canada;Call Center : Rabat CA;CAS-4677656-Q8N9R9;Resolved;14/03/2025;14/03/2025;Adil El Ghzaoui;Alberta Health Services;MPS;;;;MS41x;MS415dn;HDIS;;;;451444LM1GW4M;1;0
North America;Canada;Call Center : Rabat CA;CAS-4677629-K1V6H0;Resolved;14/03/2025;14/03/2025;Adil El Ghzaoui;Alberta Health Services;MPS;;;;MS41x;MS415dn;HDIS;;;;451444LM1GW4R;1;0
North America;Canada;Call Center : Rabat CA;CAS-4677662-S8L0M9;Resolved;14/03/2025;14/03/2025;Adil El Ghzaoui;Alberta Health Services;MPS;;;;MS41x;MS415dn;HDIS;;;;451444LM1GW4T;1;0
North America;Canada;Call Center : Rabat CA;CAS-4677596-K0K2M3;Resolved;14/03/2025;14/03/2025;Adil El Ghzaoui;Alberta Health Services;MPS;;;;MS41x;MS415dn;HDIS;;;;451444LM1GW4X;1;0
North America;Canada;Call Center : Rabat CA;CAS-4677658-F4D7J5;Resolved;14/03/2025;14/03/2025;Adil El Ghzaoui;Alberta Health Services;MPS;;;;MS41x;MS415dn;HDIS;;;;451444LM1GW4X;1;0
North America;Canada;Call Center : Rabat CA;CAS-4677625-D4Q6M1;Resolved;14/03/2025;14/03/2025;Adil El Ghzaoui;Alberta Health Services;MPS;;;;MS41x;MS415dn;HDIS;;;;451444LM1GW4Z;1;0
North America;Canada;Call Center : Rabat CA;CAS-4677673-X9K1H2;Resolved;14/03/2025;14/03/2025;Adil El Ghzaoui;Alberta Health Services;MPS;;;;MS41x;MS415dn;HDIS;;;;451444LM1GW50;1;0
North America;Canada;Call Center : Rabat CA;CAS-4599604-Y8L8T8;Resolved;20/02/2025;20/02/2025;Adil El Ghzaoui;Alberta Health Services;MPS;;;;MS61x;MS610dte;HDIS;;;;451445HH24N03;1;0
North America;Canada;Call Center : Rabat CA;CAS-4554419-T0F3C5;Resolved;06/02/2025;11/02/2025;Adil El Ghzaoui;Alberta Health Services;MPS;;;;MS61x;MS610dte;HDIS;;;;451445HH24N38;1;0
North America;Canada;Call Center : Rabat CA;CAS-4595245-P7B0V9;Resolved;19/02/2025;19/02/2025;Omar Messaad;Alberta Health Services;MPS;;;;MS41x;MS415dn;HDIS;;;;451445LM23L3C;1;0
North America;Canada;Call Center : Rabat CA;CAS-4677652-V0G9X3;Resolved;14/03/2025;15/03/2025;Adil El Ghzaoui;Alberta Health Services;MPS;;;;MS61x;MS610dte;HDIS;;;;451455HH26RHD;1;0
North America;Canada;Call Center : Rabat CA;CAS-4458026-B7X7V5;Resolved;09/01/2025;09/01/2025;Adam Es-Salmi;Alberta Health Services;MPS;;;;MS61x;MS610dte;HDIS;;;;451455HH26RHZ;1;0
North America;Canada;Call Center : Rabat CA;CAS-4677660-Y1J9D2;Resolved;14/03/2025;14/03/2025;Adil El Ghzaoui;Alberta Health Services;MPS;;;;MS41x;MS415dn;HDIS;;;;451455LM27H00;1;0
North America;Canada;Call Center : Rabat CA;CAS-4677569-S6H2K2;Resolved;14/03/2025;14/03/2025;Adil El Ghzaoui;Alberta Health Services;MPS;;;;MS41x;MS415dn;HDIS;;;;451455LM27L9H;1;0
North America;Canada;Call Center : Rabat CA;CAS-4548529-X3P3X7;Resolved;05/02/2025;05/02/2025;Mohammed El Hachimi;Alberta Health Services;MPS;;;;MS61x;MS610dte;HDIS;;;;451456HH29316;1;0
North America;Canada;Call Center : Rabat CA;CAS-4457912-N0M6K1;Resolved;08/01/2025;09/01/2025;Adam Es-Salmi;Alberta Health Services;MPS;;;;MS61x;MS610dte;HDIS;;;;451456HH2931P;1;0
North America;Canada;Call Center : Rabat CA;CAS-4534654-C7P6Z8;Resolved;31/01/2025;01/02/2025;Amine Ennajih;Alberta Health Services;MPS;;;;MS41x;MS415dn;HDIS;;;;451456LM29F84;1;0
North America;Canada;Call Center : Rabat CA;CAS-4696223-N9V4C9;Resolved;20/03/2025;21/03/2025;Adil El Ghzaoui;Alberta Health Services;MPS;;;;MS41x;MS415dn;HDIS;;;;451456LM29G54;1;0
North America;Canada;Call Center : Rabat CA;CAS-4443739-P7X4L3;Resolved;03/01/2025;03/01/2025;Walid Talbi;Alberta Health Services;MPS;;;;MS41x;MS415dn;HDIS;;;;451457LM2G378;1;0
North America;Canada;Call Center : Rabat CA;CAS-4520044-P9N4F3;Resolved;28/01/2025;28/01/2025;Yassine El Khattary;Alberta Health Services;MPS;;;;MS41x;MS415dn;HDIS;;;;451457LM2G378;1;0
North America;Canada;Call Center : Rabat CA;CAS-4615337-F5L1Z4;Resolved;26/02/2025;03/03/2025;Adil El Ghzaoui;Alberta Health Services;MPS;;;;MS41x;MS415dn;HDIS;;;;45146PLM2XDF9;1;0
North America;Canada;Call Center : Rabat CA;CAS-4457983-J3W4Y7;Resolved;08/01/2025;09/01/2025;Amine Ennajih;Alberta Health Services;MPS;;;;MS41x;MS415dn;HDIS;;;;45146PLM2XDFG;1;0
North America;Canada;Call Center : Rabat CA;CAS-4457969-Y2B3R3;Resolved;08/01/2025;09/01/2025;Amine Ennajih;Alberta Health Services;MPS;;;;MS41x;MS415dn;HDIS;;;;45146PLM2XH16;1;0
North America;Canada;Call Center : Rabat CA;CAS-4557251-K1Y7T1;Resolved;07/02/2025;07/02/2025;Adil El Ghzaoui;Alberta Health Services;MPS;;;;MS41x;MS415dn;HDIS;;;;45147PLM40RBK;1;0
North America;Canada;Call Center : Rabat CA;CAS-4619599-N8X2G5;Resolved;26/02/2025;26/02/2025;Adil El Ghzaoui;Alberta Health Services;MPS;;;;MS41x;MS415dn;HDIS;;;;45147PLM40RBK;1;0
North America;Canada;Call Center : Rabat CA;CAS-4598160-H3T2W1;Resolved;20/02/2025;20/02/2025;Yassine El Khattary;Alberta Health Services;MPS;;;;MS41x;MS415dn;HDIS;;;;45148PLM4P29Z;1;0
North America;Canada;Call Center : Rabat CA;CAS-4520759-L0F5S4;Resolved;28/01/2025;28/01/2025;Yassine El Khattary;Alberta Health Services;MPS;;;;MS52x;MS521dn;HDIS;;;;4600232427XVH;1;0
